scenario,year,month,temp_mean_c,warming_delta,HDD_monthly,CDD_monthly
SSP1-2.6,2025,1,0.469,0.183,450.9,0.0
SSP1-2.6,2025,2,2.218,0.183,398.5,0.0
SSP1-2.6,2025,3,6.32,0.183,275.4,0.0
SSP1-2.6,2025,4,11.814,0.183,110.6,0.0
SSP1-2.6,2025,5,16.459,0.183,0.0,0.0
SSP1-2.6,2025,6,20.251,0.183,0.0,67.5
SSP1-2.6,2025,7,22.083,0.183,0.0,122.5
SSP1-2.6,2025,8,21.587,0.183,0.0,107.6
SSP1-2.6,2025,9,16.404,0.183,0.0,0.0
SSP1-2.6,2025,10,11.194,0.183,129.2,0.0
SSP1-2.6,2025,11,6.221,0.183,278.4,0.0
SSP1-2.6,2025,12,1.469,0.183,420.9,0.0
SSP1-2.6,2026,1,0.506,0.22,449.8,0.0
SSP1-2.6,2026,2,2.255,0.22,397.4,0.0
SSP1-2.6,2026,3,6.357,0.22,274.3,0.0
SSP1-2.6,2026,4,11.851,0.22,109.5,0.0
SSP1-2.6,2026,5,16.496,0.22,0.0,0.0
SSP1-2.6,2026,6,20.288,0.22,0.0,68.6
SSP1-2.6,2026,7,22.12,0.22,0.0,123.6
SSP1-2.6,2026,8,21.624,0.22,0.0,108.7
SSP1-2.6,2026,9,16.441,0.22,0.0,0.0
SSP1-2.6,2026,10,11.23,0.22,128.1,0.0
SSP1-2.6,2026,11,6.257,0.22,277.3,0.0
SSP1-2.6,2026,12,1.505,0.22,419.8,0.0
SSP1-2.6,2027,1,0.543,0.257,448.7,0.0
SSP1-2.6,2027,2,2.291,0.257,396.3,0.0
SSP1-2.6,2027,3,6.393,0.257,273.2,0.0
SSP1-2.6,2027,4,11.887,0.257,108.4,0.0
SSP1-2.6,2027,5,16.532,0.257,0.0,0.0
SSP1-2.6,2027,6,20.325,0.257,0.0,69.7
SSP1-2.6,2027,7,22.156,0.257,0.0,124.7
SSP1-2.6,2027,8,21.661,0.257,0.0,109.8
SSP1-2.6,2027,9,16.477,0.257,0.0,0.0
SSP1-2.6,2027,10,11.267,0.257,127.0,0.0
SSP1-2.6,2027,11,6.294,0.257,276.2,0.0
SSP1-2.6,2027,12,1.542,0.257,418.7,0.0
SSP1-2.6,2028,1,0.579,0.293,447.6,0.0
SSP1-2.6,2028,2,2.328,0.293,395.2,0.0
SSP1-2.6,2028,3,6.43,0.293,272.1,0.0
SSP1-2.6,2028,4,11.924,0.293,107.3,0.0
SSP1-2.6,2028,5,16.569,0.293,0.0,0.0
SSP1-2.6,2028,6,20.361,0.293,0.0,70.8
SSP1-2.6,2028,7,22.193,0.293,0.0,125.8
SSP1-2.6,2028,8,21.697,0.293,0.0,110.9
SSP1-2.6,2028,9,16.514,0.293,0.0,0.0
SSP1-2.6,2028,10,11.304,0.293,125.9,0.0
SSP1-2.6,2028,11,6.331,0.293,275.1,0.0
SSP1-2.6,2028,12,1.579,0.293,417.6,0.0
SSP1-2.6,2029,1,0.616,0.33,446.5,0.0
SSP1-2.6,2029,2,2.365,0.33,394.1,0.0
SSP1-2.6,2029,3,6.467,0.33,271.0,0.0
SSP1-2.6,2029,4,11.961,0.33,106.2,0.0
SSP1-2.6,2029,5,16.606,0.33,0.0,0.0
SSP1-2.6,2029,6,20.398,0.33,0.0,71.9
SSP1-2.6,2029,7,22.23,0.33,0.0,126.9
SSP1-2.6,2029,8,21.734,0.33,0.0,112.0
SSP1-2.6,2029,9,16.551,0.33,0.0,0.0
SSP1-2.6,2029,10,11.34,0.33,124.8,0.0
SSP1-2.6,2029,11,6.367,0.33,274.0,0.0
SSP1-2.6,2029,12,1.615,0.33,416.5,0.0
SSP1-2.6,2030,1,0.653,0.367,445.4,0.0
SSP1-2.6,2030,2,2.401,0.367,393.0,0.0
SSP1-2.6,2030,3,6.503,0.367,269.9,0.0
SSP1-2.6,2030,4,11.997,0.367,105.1,0.0
