scenario,year,load_mean_MW,loss_rate_pct,extra_loss_pct,required_gen_MW,wasted_MW,temp_mean_c
SSP1-2.6,2025,5009.1,6.5,0.0,5357.2998046875,348.20001220703125,11.374
SSP1-2.6,2026,5008.4,6.5,0.0,5356.5,348.20001220703125,11.411
SSP1-2.6,2027,5011.8,6.5,0.0,5360.2001953125,348.3999938964844,11.447
SSP1-2.6,2028,5005.7,6.5,0.0,5353.7001953125,348.0,11.484
SSP1-2.6,2029,5005.9,6.508,0.008,5354.3,348.5,11.521
SSP1-2.6,2030,5004.9,6.523,0.023,5354.1,349.2,11.557
SSP1-2.6,2031,5000.9,6.538,0.038,5350.7,349.8,11.594
SSP1-2.6,2032,4996.7,6.552,0.052,5347.0,350.4,11.631
SSP1-2.6,2033,4995.8,6.567,0.067,5347.0,351.1,11.667
SSP1-2.6,2034,4994.9,6.582,0.082,5346.8,351.9,11.704
SSP1-2.6,2035,4995.8,6.596,0.096,5348.6,352.8,11.741
SSP1-2.6,2036,4994.7,6.611,0.111,5348.3,353.6,11.777
SSP1-2.6,2037,4993.4,6.626,0.126,5347.8,354.3,11.814
SSP1-2.6,2038,4993.0,6.64,0.14,5348.2,355.1,11.851
SSP1-2.6,2039,4992.8,6.655,0.155,5348.8,356.0,11.887
SSP1-2.6,2040,4993.0,6.67,0.17,5349.8,356.8,11.924
SSP1-2.6,2041,4994.7,6.684,0.184,5352.5,357.8,11.961
SSP1-2.6,2042,4987.0,6.699,0.199,5345.1,358.1,11.997
SSP1-2.6,2043,4991.0,6.714,0.214,5350.2,359.2,12.034
SSP1-2.6,2044,4992.1,6.728,0.228,5352.2,360.1,12.071
SSP1-2.6,2045,4987.0,6.743,0.243,5347.6,360.6,12.107
SSP1-2.6,2046,4987.0,6.758,0.258,5348.4,361.4,12.144
SSP1-2.6,2047,4990.2,6.772,0.272,5352.7,362.5,12.181
SSP1-2.6,2048,4990.8,6.787,0.287,5354.2,363.4,12.217
SSP1-2.6,2049,4993.3,6.802,0.302,5357.7,364.4,12.254
SSP1-2.6,2050,4991.3,6.816,0.316,5356.4,365.1,12.291
SSP1-2.6,2051,4991.3,6.818,0.318,5356.5,365.2,12.295
SSP1-2.6,2052,4991.3,6.82,0.32,5356.6,365.3,12.299
SSP1-2.6,2053,4991.4,6.821,0.321,5356.7,365.4,12.303
SSP1-2.6,2054,4991.4,6.823,0.323,5356.9,365.5,12.307
SSP1-2.6,2055,4991.5,6.824,0.324,5357.0,365.6,12.311
SSP1-2.6,2056,4991.2,6.826,0.326,5356.9,365.7,12.315
SSP1-2.6,2057,4991.0,6.828,0.328,5356.7,365.7,12.319
SSP1-2.6,2058,4991.0,6.829,0.329,5356.8,365.8,12.323
SSP1-2.6,2059,4991.0,6.831,0.331,5356.9,365.9,12.327
SSP1-2.6,2060,4991.1,6.832,0.332,5357.1,366.0,12.331
SSP1-2.6,2061,4991.0,6.834,0.334,5357.1,366.1,12.335
SSP1-2.6,2062,4991.0,6.836,0.336,5357.2,366.2,12.339
SSP1-2.6,2063,4990.0,6.837,0.337,5356.2,366.2,12.343
SSP1-2.6,2064,4990.0,6.839,0.339,5356.3,366.3,12.347
SSP1-2.6,2065,4991.0,6.84,0.34,5357.4,366.5,12.351
SSP1-2.6,2066,4991.0,6.842,0.342,5357.6,366.6,12.355
SSP1-2.6,2067,4991.2,6.844,0.344,5357.9,366.7,12.359
SSP1-2.6,2068,4991.2,6.845,0.345,5358.0,366.8,12.363
SSP1-2.6,2069,4991.2,6.847,0.347,5358.1,366.9,12.367
SSP1-2.6,2070,4992.4,6.848,0.348,5359.4,367.0,12.371
SSP1-2.6,2071,4993.3,6.85,0.35,5360.5,367.2,12.375
SSP1-2.6,2072,4995.7,6.852,0.352,5363.2,367.5,12.379
SSP1-2.6,2073,4995.7,6.853,0.353,5363.2,367.6,12.383
SSP1-2.6,2074,4995.7,6.855,0.355,5363.3,367.6,12.387
SSP1-2.6,2075,4995.7,6.856,0.356,5363.5,367.7,12.391
SSP1-2.6,2076,4995.8,6.858,0.358,5363.7,367.8,12.395
SSP1-2.6,2077,4995.9,6.86,0.36,5363.8,367.9,12.399
SSP1-2.6,2078,4995.9,6.861,0.361,5363.9,368.0,12.403
SSP1-2.6,2079,4995.2,6.863,0.363,5363.3,368.1,12.407
SSP1-2.6,2080,4995.6,6.864,0.364,5363.8,368.2,12.411
SSP1-2.6,2081,4995.5,6.866,0.366,5363.8,368.3,12.415
SSP1-2.6,2082,4993.7,6.868,0.368,5361.9,368.2,12.419
SSP1-2.6,2083,4993.6,6.869,0.369,5361.9,368.3,12.423
SSP1-2.6,2084,4994.5,6.871,0.371,5363.0,368.5,12.427
SSP1-2.6,2085,4994.5,6.872,0.372,5363.1,368.6,12.431
SSP1-2.6,2086,4996.0,6.874,0.374,5364.8,368.8,12.435
SSP1-2.6,2087,4996.0,6.876,0.376,5364.9,368.9,12.439
SSP1-2.6,2088,4995.8,6.877,0.377,5364.7,368.9,12.443
SSP1-2.6,2089,4993.9,6.879,0.379,5362.8,368.9,12.447
SSP1-2.6,2090,4994.1,6.88,0.38,5363.1,369.0,12.451
SSP1-2.6,2091,4992.7,6.882,0.382,5361.6,369.0,12.455
SSP1-2.6,2092,4992.7,6.884,0.384,5361.7,369.1,12.459
SSP1-2.6,2093,4992.5,6.885,0.385,5361.7,369.2,12.463
SSP1-2.6,2094,4990.6,6.887,0.387,5359.7,369.1,12.467
SSP1-2.6,2095,4989.8,6.888,0.388,5359.0,369.1,12.471
SSP1-2.6,2096,4989.8,6.89,0.39,5359.1,369.2,12.475
SSP1-2.6,2097,4989.3,6.892,0.392,5358.6,369.3,12.479
SSP1-2.6,2098,4990.0,6.893,0.393,5359.5,369.4,12.483
SSP1-2.6,2099,4989.9,6.895,0.395,5359.4,369.5,12.487
SSP1-2.6,2100,4989.9,6.896,0.396,5359.5,369.6,12.491
SSP2-4.5,2025,5011.6,6.5,0.0,5360.0,348.3999938964844,11.441
SSP2-4.5,2026,5005.7,6.5,0.0,5353.7001953125,348.0,11.491
SSP2-4.5,2027,5005.4,6.516,0.016,5354.3,348.9,11.541
SSP2-4.5,2028,5001.2,6.536,0.036,5350.9,349.8,11.591
SSP2-4.5,2029,4996.2,6.556,0.056,5346.8,350.6,11.641
SSP2-4.5,2030,4991.7,6.576,0.076,5343.1,351.4,11.691
SSP2-4.5,2031,4995.8,6.596,0.096,5348.6,352.8,11.741
SSP2-4.5,2032,4994.3,6.616,0.116,5348.2,353.9,11.791
SSP2-4.5,2033,4993.4,6.636,0.136,5348.4,354.9,11.841
SSP2-4.5,2034,4993.1,6.656,0.156,5349.1,356.1,11.891
SSP2-4.5,2035,4994.2,6.676,0.176,5351.5,357.3,11.941
SSP2-4.5,2036,4990.5,6.696,0.196,5348.7,358.2,11.991
SSP2-4.5,2037,4991.8,6.716,0.216,5351.2,359.4,12.041
SSP2-4.5,2038,4988.9,6.736,0.236,5349.2,360.3,12.091
SSP2-4.5,2039,4987.0,6.756,0.256,5348.3,361.4,12.141
SSP2-4.5,2040,4990.0,6.776,0.276,5352.7,362.7,12.191
SSP2-4.5,2041,4993.6,6.796,0.296,5357.7,364.1,12.241
SSP2-4.5,2042,4991.3,6.816,0.316,5356.4,365.1,12.291
SSP2-4.5,2043,4990.0,6.836,0.336,5356.2,366.2,12.341
SSP2-4.5,2044,4995.7,6.856,0.356,5363.5,367.7,12.391
SSP2-4.5,2045,4996.0,6.876,0.376,5364.9,368.9,12.441
SSP2-4.5,2046,4989.9,6.896,0.396,5359.5,369.6,12.491
SSP2-4.5,2047,4992.8,6.916,0.416,5363.7,371.0,12.541
SSP2-4.5,2048,4987.9,6.936,0.436,5359.7,371.8,12.591
SSP2-4.5,2049,4986.4,6.956,0.456,5359.2,372.8,12.641
SSP2-4.5,2050,4989.1,6.976,0.476,5363.3,374.2,12.691
SSP2-4.5,2051,4992.3,6.984,0.484,5367.1,374.8,12.709
