date,temp_mean_c,temp_max_c,temp_min_c,wind_mean_m_s,solar_rad_j_m2,precip_mm,HDD,CDD
1970-01-01,-1.8962402,-1.1639404,-3.0480957,2.563496,483200.0,1.09361,17.39624,0.0
1970-01-02,-3.783493,-2.4613953,-6.4608154,3.6287243,1.0258944e+06,0.0018119812,19.283493,0.0
1970-01-03,-4.737808,-4.0886536,-5.5795593,4.1767664,1.0544299e+06,0.0,20.237808,0.0
1970-01-04,-1.5479736,1.8447571,-4.6316223,3.7230673,1.0223787e+06,0.0,17.047974,0.0
1970-01-05,5.257721,8.506226,2.6185608,8.167765,823095.44,0.067456566,10.242279,0.0
1970-01-06,1.8486862,4.4008484,0.2548523,4.666773,508552.53,1.4891307,13.651314,0.0
1970-01-07,-1.3816147,-0.99212646,-1.9450073,5.0741735,386961.06,1.2852986,16.881615,0.0
1970-01-08,-4.077179,-2.432495,-7.137665,4.288744,1.1643264e+06,6.357829e-05,19.577179,0.0
1970-01-09,-7.6467743,-4.67041,-10.334656,2.529274,1.0384512e+06,0.0,23.146774,0.0
1970-01-10,-4.8925476,-3.0824585,-6.4902344,5.394568,618901.3,0.03712972,20.392548,0.0
1970-01-11,1.1962204,3.6517944,-1.4053955,5.859891,960618.7,0.0081380205,14.30378,0.0
1970-01-12,2.3340607,2.5218506,2.216217,5.2572355,717815.44,0.105667114,13.165939,0.0
1970-01-13,1.4652176,1.9735107,1.1031494,1.7319973,595387.75,0.0047365827,14.034782,0.0
1970-01-14,1.4897461,1.6181641,1.2526855,1.626678,327854.94,0.20844142,14.010254,0.0
1970-01-15,2.2698517,3.542511,0.68466187,2.5079496,597521.06,0.0029881794,13.230148,0.0
1970-01-16,2.709404,3.1550598,2.2304993,2.915514,256622.94,0.8175055,12.790596,0.0
1970-01-17,-1.5507278,1.8914795,-4.9470215,7.958374,699101.9,0.11027654,17.050728,0.0
1970-01-18,-5.7108536,-5.0313416,-6.4866943,7.7615414,993109.3,0.00778834,21.210854,0.0
1970-01-19,-6.467781,-5.654999,-6.918457,4.827547,517444.28,0.5871455,21.967781,0.0
1970-01-20,-7.52726,-5.572876,-10.457184,1.7416153,1.2112171e+06,0.0009854634,23.02726,0.0
1970-01-21,-5.4330215,-4.7834473,-5.9928894,0.7563709,703133.9,0.16415913,20.933022,0.0
1970-01-22,-4.612541,-2.3858948,-5.869293,1.11304,670357.3,0.016085306,20.112541,0.0
1970-01-23,-4.9174423,-2.7617798,-7.0150757,1.662313,1.079808e+06,0.015640259,20.417442,0.0
1970-01-24,-3.5763474,-2.7471008,-4.3898315,3.7873282,771003.75,0.011984508,19.076347,0.0
1970-01-25,-2.5213165,-1.6128235,-3.30719,2.271162,1.0147968e+06,0.25758743,18.021317,0.0
1970-01-26,-1.1222992,-0.4801941,-1.8741455,3.4597657,595217.06,0.026035309,16.6223,0.0
1970-01-27,0.70744324,1.1526794,0.07385254,1.1611098,830242.1,0.020917257,14.792557,0.0
1970-01-28,2.0420074,4.5945435,0.84628296,3.6508741,1.3294379e+06,0.11650722,13.457993,0.0
1970-01-29,-0.6014633,0.5352478,-2.2243958,3.216887,1.3467094e+06,0.005785624,16.101463,0.0
1970-01-30,-1.7012634,-1.097168,-2.377655,2.6376424,721920.0,0.03789266,17.201263,0.0
1970-01-31,-2.1156235,-1.1557312,-2.852539,3.44735,645683.2,0.4296303,17.615623,0.0
1970-02-01,-4.511902,-2.3452454,-5.5547485,3.6186948,876970.7,0.29055277,20.011902,0.0
1970-02-02,-6.390663,-4.5781555,-9.167389,2.410609,1.5102336e+06,0.14680226,21.890663,0.0
1970-02-03,-0.71364594,3.1719666,-4.7448425,5.6193757,1.2765995e+06,1.0139465,16.213646,0.0
1970-02-04,2.8369598,4.4664,0.7216797,4.1923285,1.3268651e+06,0.39749146,12.66304,0.0
1970-02-05,2.8316193,3.6285095,2.008606,2.1000443,645819.75,0.3945033,12.668381,0.0
1970-02-06,3.9691696,7.1772156,1.4060059,2.7427585,1.5310976e+06,0.5537351,11.53083,0.0
1970-02-07,-0.13670349,1.7239685,-1.4170227,1.7170806,1.1820202e+06,0.1760165,15.6367035,0.0
1970-02-08,2.2192154,3.702423,0.8392639,3.5480678,1.2910122e+06,0.04351934,13.280785,0.0
1970-02-09,4.0690155,7.2313538,1.6153564,3.4034004,1.1603158e+06,0.17967224,11.4309845,0.0
1970-02-10,3.014511,4.535858,2.22583,1.902605,737518.94,0.4728635,12.485489,0.0
1970-02-11,0.886322,3.4918823,-2.0128784,2.3327498,1.2253269e+06,0.3437678,14.613678,0.0
1970-02-12,0.56092834,2.6122131,-1.1368713,3.9966004,1.3609685e+06,0.008996328,14.939072,0.0
1970-02-13,3.117813,4.883972,2.2998047,4.0064354,1.3528746e+06,0.16171138,12.382187,0.0
1970-02-14,1.7060547,3.4475708,-0.45599365,2.9912782,1.5065984e+06,0.02784729,13.793945,0.0
1970-02-15,-1.4603271,0.78704834,-4.7107544,5.946211,1.2373675e+06,2.4159112,16.960327,0.0
1970-02-16,-6.342041,-4.5947266,-7.352539,6.289363,1.1517226e+06,0.027688343,21.842041,0.0
1970-02-17,-6.825371,-2.0018616,-10.7647705,3.0630546,1.8592725e+06,0.0012715658,22.32537,0.0
1970-02-18,-2.939865,-1.2824097,-5.775757,3.2403326,676940.8,0.31989416,18.439865,0.0
1970-02-19,-1.9511414,-0.022399902,-2.938324,3.1483438,1.5565141e+06,0.045522057,17.451141,0.0
1970-02-20,-4.0006485,-0.17459106,-9.35965,3.8619623,1.1536811e+06,0.06767909,19.500648,0.0
1970-02-21,-0.38967896,1.789856,-3.7493286,3.7737613,1.8273621e+06,1.4784813,15.889679,0.0
1970-02-22,1.1915588,2.2884216,0.23538208,3.1282363,428462.94,2.51894,14.308441,0.0
1970-02-23,3.5537643,5.8078003,2.2855835,3.434504,1.3471572e+06,2.0516078,11.946236,0.0
1970-02-24,-0.5196152,2.2651367,-3.0855408,3.8294353,1.8541866e+06,0.065485634,16.019615,0.0
1970-02-25,-2.7052917,0.27157593,-5.321594,3.267835,1.8519082e+06,0.001780192,18.205292,0.0
1970-02-26,-2.5847168,-2.128418,-3.234436,5.56868,818944.0,0.6393751,18.084717,0.0
1970-02-27,-3.0319443,-1.9761658,-3.9156494,4.3718195,1.6356139e+06,0.22970836,18.531944,0.0
1970-02-28,-3.064804,-1.546936,-4.4333496,5.2697744,1.3753812e+06,0.15967688,18.564804,0.0
1970-03-01,-3.3637466,-1.1830444,-5.4629517,5.0985427,1.2401878e+06,0.21276474,18.863747,0.0
1970-03-02,-2.1103897,1.6177673,-8.013519,4.5439215,1.1868715e+06,0.16997653,17.61039,0.0
1970-03-03,0.23142242,1.2453308,-0.45617676,3.0059166,793378.1,2.377065,15.268578,0.0
1970-03-04,3.0849533,4.553528,1.2733765,4.6303988,1.5297535e+06,0.3610293,12.415047,0.0
1970-03-05,1.3715515,2.2193298,0.4534607,2.8061125,1.5496746e+06,2.641201,14.1284485,0.0
1970-03-06,-0.9526596,2.8743591,-3.2294312,1.8094203,2.2687572e+06,0.020980837,16.45266,0.0
1970-03-07,-1.2742157,0.32684326,-2.9396667,3.6905453,1.3654656e+06,0.32208762,16.774216,0.0
1970-03-08,-1.988739,2.8329468,-6.8069153,3.8555098,2.3624875e+06,0.0,17.488739,0.0
1970-03-09,-0.35166168,2.4568481,-3.2765808,2.136643,2.1006462e+06,0.14066696,15.851662,0.0
1970-03-10,0.091659546,3.0832825,-2.10318,2.0327077,2.3798952e+06,0.21597545,15.40834,0.0
1970-03-11,1.7369156,4.723114,-1.954071,2.8651094,1.6964609e+06,0.007947287,13.763084,0.0
1970-03-12,1.2935181,1.6511841,0.97180176,2.9738297,390114.12,2.3952801,14.206482,0.0
1970-03-13,0.5929718,4.558563,-2.0354004,2.0839195,2.30688e+06,0.0015735626,14.907028,0.0
1970-03-14,1.1029739,4.2640076,-1.566864,2.6641145,1.3546028e+06,0.16768774,14.397026,0.0
1970-03-15,1.380516,1.666748,0.8271179,3.7768102,770397.9,0.8897463,14.119484,0.0
1970-03-16,1.923233,3.2203064,0.44989014,5.854457,1.7082922e+06,0.34386316,13.576767,0.0
1970-03-17,3.0021515,5.7392883,0.055847168,4.111376,1.691055e+06,0.01487732,12.4978485,0.0
1970-03-18,4.6966324,7.2117004,2.1761475,3.6594372,973640.56,0.12706122,10.803368,0.0
1970-03-19,5.3856354,8.047546,3.6938782,3.7759159,1.6850006e+06,0.14988582,10.114365,0.0
1970-03-20,4.2473297,6.783386,3.0579224,5.4343343,2.3756588e+06,0.06157557,11.25267,0.0
1970-03-21,6.369461,10.661438,3.1594543,3.3085718,1.2875222e+06,0.7984797,9.130539,0.0
1970-03-22,7.810364,13.471008,3.2688904,1.675707,2.2654505e+06,0.00025431317,7.689636,0.0
1970-03-23,9.43338,14.560669,5.4538574,2.244534,1.8784129e+06,0.008201599,6.06662,0.0
1970-03-24,10.566689,13.558136,6.8625793,2.250526,1.6474198e+06,0.19954047,4.9333115,0.0
1970-03-25,11.87001,15.556183,8.502777,2.434893,1.9579051e+06,0.05871455,3.6299896,0.0
1970-03-26,10.437607,12.169037,7.5224915,2.1816924,2.110447e+06,0.025876364,5.062393,0.0
1970-03-27,7.951515,10.207916,6.396576,3.718876,1.1089579e+06,1.4999707,7.548485,0.0
1970-03-28,3.1741867,5.8859863,1.7716064,4.9837747,2.1999105e+06,0.09730657,12.325813,0.0
1970-03-29,2.6379776,7.1102905,0.21160889,4.318975,2.4094635e+06,0.09743372,12.862022,0.0
1970-03-30,5.9604797,11.114868,-0.17459106,3.7708015,2.5159978e+06,0.0,9.53952,0.0
1970-03-31,10.424042,15.177216,6.6639404,5.651041,2.1395115e+06,0.0061670938,5.0759583,0.0
1970-04-01,7.5600357,10.317566,5.238556,3.539809,858453.3,1.4927547,7.9399643,0.0
