datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,rel_humidity_pct,mixing_ratio_g_kg,wind_dir_deg,wind_speed_m_s
2026-05-06 00:00:00+00:00,2026-05-06,0,995.0,139.0,15.6,7.6,59.0,6.59,205.0,1.0
2026-05-06 12:00:00+00:00,2026-05-06,12,995.0,139.0,23.8,7.8,36.0,6.68,220.0,6.0
2026-05-07 00:00:00+00:00,2026-05-07,0,995.0,139.0,15.4,13.6,89.0,9.88,220.0,2.0
2026-05-07 12:00:00+00:00,2026-05-07,12,997.0,139.0,22.2,9.2,44.0,7.34,260.0,3.0
2026-05-08 00:00:00+00:00,2026-05-08,0,999.0,139.0,11.4,11.1,98.0,8.33,190.0,1.0
2026-05-08 12:00:00+00:00,2026-05-08,12,999.0,139.0,20.8,8.8,46.0,7.13,320.0,1.0
2026-05-09 00:00:00+00:00,2026-05-09,0,1000.0,139.0,15.6,6.6,55.0,6.12,340.0,1.0
2026-05-09 12:00:00+00:00,2026-05-09,12,1000.0,139.0,22.4,7.4,38.0,6.47,320.0,2.0
2026-05-10 00:00:00+00:00,2026-05-10,0,1001.0,139.0,13.4,6.4,63.0,6.03,80.0,3.0
2026-05-10 12:00:00+00:00,2026-05-10,12,998.0,139.0,22.0,5.0,33.0,5.48,340.0,1.0
2026-05-11 00:00:00+00:00,2026-05-11,0,993.0,139.0,15.2,8.2,63.0,6.88,85.0,2.0
2026-05-11 12:00:00+00:00,2026-05-11,12,989.0,139.0,20.4,10.4,53.0,8.03,175.0,2.0
2026-05-12 00:00:00+00:00,2026-05-12,0,985.0,139.0,14.6,10.0,74.0,7.84,265.0,2.0
