date,temp_mean_c,temp_max_c,temp_min_c,wind_mean_m_s,n_soundings,HDD,CDD
2010-01-01,5.1,6.0,4.2,4.0,2,10.4,0.0
2010-01-02,3.3,3.6,3.0,8.0,2,12.2,0.0
2010-01-03,-1.2,-0.7,-1.7,12.0,2,16.7,0.0
2010-01-04,-3.3,-2.1,-4.5,4.0,2,18.8,0.0
2010-01-05,-4.7,-3.7,-5.7,5.0,2,20.2,0.0
2010-01-06,-1.35,0.0,-2.7,5.0,2,16.85,0.0
2010-01-07,-0.4,-0.3,-0.5,2.0,2,15.9,0.0
2010-01-08,-0.55,1.4,-2.5,5.0,2,16.05,0.0
2010-01-09,6.3,7.8,4.8,6.0,2,9.2,0.0
2010-01-10,5.0,6.8,3.2,2.0,2,10.5,0.0
2010-01-11,2.5999999999999996,3.8,1.4,5.0,2,12.9,0.0
2010-01-12,0.55,2.0,-0.9,4.0,2,14.95,0.0
2010-01-13,-0.15,0.0,-0.3,2.0,2,15.65,0.0
2010-01-14,0.5499999999999999,1.2,-0.1,2.0,2,14.95,0.0
2010-01-15,-0.05,0.0,-0.1,3.0,2,15.55,0.0
2010-01-16,-2.0500000000000003,0.6,-4.7,4.0,2,17.55,0.0
2010-01-18,-0.9,-0.1,-1.7,4.0,2,16.4,0.0
2010-01-19,-0.1499999999999999,1.6,-1.9,3.0,2,15.65,0.0
2010-01-20,-0.55,0.2,-1.3,2.0,2,16.05,0.0
2010-01-21,-2.6,-2.5,-2.7,5.0,2,18.1,0.0
2010-01-22,-2.5999999999999996,-2.3,-2.9,2.0,2,18.1,0.0
2010-01-23,-2.2,-0.9,-3.5,3.0,2,17.7,0.0
2010-01-24,-5.4,-3.9,-6.9,2.0,2,20.9,0.0
2010-01-25,-6.6000000000000005,-3.9,-9.3,3.0,2,22.1,0.0
2010-01-26,-5.8,-3.5,-8.1,3.0,2,21.3,0.0
2010-01-27,-6.1,-4.5,-7.7,2.0,2,21.6,0.0
2010-01-28,-9.7,-6.9,-12.5,4.0,2,25.2,0.0
2010-01-29,-3.6,-0.9,-6.3,2.0,2,19.1,0.0
2010-01-30,-2.2,-0.9,-3.5,3.0,2,17.7,0.0
2010-01-31,-1.9,-1.7,-2.1,6.0,2,17.4,0.0
2010-02-01,-2.0,-0.5,-3.5,7.0,2,17.5,0.0
2010-02-02,-4.2,-0.9,-7.5,3.0,2,19.7,0.0
2010-02-03,-5.2,-2.1,-8.3,4.0,2,20.7,0.0
2010-02-04,-1.65,1.2,-4.5,4.0,2,17.15,0.0
2010-02-05,-3.1,-3.1,-3.1,8.0,1,18.6,0.0
2010-02-06,0.55,1.8,-0.7,6.0,2,14.95,0.0
2010-02-07,-0.3,-0.1,-0.5,2.0,2,15.8,0.0
2010-02-08,-2.2,-0.9,-3.5,3.0,2,17.7,0.0
2010-02-09,-4.2,-1.7,-6.7,3.0,2,19.7,0.0
2010-02-10,-2.05,0.4,-4.5,6.0,2,17.55,0.0
2010-02-11,1.1,2.0,0.2,3.0,2,14.4,0.0
2010-02-12,1.0,1.4,0.6,4.0,2,14.5,0.0
2010-02-13,-0.3,-0.3,-0.3,8.0,1,15.8,0.0
2010-02-14,1.7000000000000002,3.2,0.2,4.0,2,13.8,0.0
2010-02-15,1.05,2.6,-0.5,4.0,2,14.45,0.0
2010-02-16,0.4,0.4,0.4,4.0,1,15.1,0.0
2010-02-17,1.45,3.4,-0.5,6.0,2,14.05,0.0
2010-02-18,2.7,3.4,2.0,5.0,2,12.8,0.0
2010-02-19,3.1,3.6,2.6,4.0,2,12.4,0.0
2010-02-20,4.5,5.0,4.0,6.0,2,11.0,0.0
2010-02-21,3.3,5.6,1.0,8.0,2,12.2,0.0
2010-02-22,2.4499999999999997,5.6,-0.7,4.0,2,13.05,0.0
2010-02-23,7.5,9.8,5.2,3.0,2,8.0,0.0
2010-02-24,6.199999999999999,6.6,5.8,3.0,2,9.3,0.0
2010-02-25,7.4,9.0,5.8,2.0,2,8.1,0.0
2010-02-26,5.1,6.8,3.4,5.0,2,10.4,0.0
2010-02-27,6.9,7.0,6.8,7.0,2,8.6,0.0
2010-02-28,5.6,10.6,0.6,8.0,2,9.9,0.0
2010-03-01,9.0,13.6,4.4,6.0,2,6.5,0.0
2010-03-02,8.8,8.8,8.8,8.0,1,6.699999999999999,0.0
2010-03-03,5.800000000000001,7.4,4.2,7.0,2,9.7,0.0
2010-03-04,2.6,3.6,1.6,4.0,2,12.9,0.0
2010-03-05,2.6,3.4,1.8,8.0,2,12.9,0.0
2010-03-06,-0.95,1.4,-3.3,7.0,2,16.45,0.0
2010-03-07,-2.0,-1.1,-2.9,3.0,2,17.5,0.0
2010-03-08,-1.45,1.4,-4.3,4.0,2,16.95,0.0
2010-03-09,-0.050000000000000044,2.4,-2.5,6.0,2,15.55,0.0
2010-03-10,0.55,4.0,-2.9,8.0,2,14.95,0.0
2010-03-11,0.3,0.6,0.0,3.0,2,15.2,0.0
2010-03-12,1.3,2.4,0.2,8.0,2,14.2,0.0
2010-03-13,3.6,5.2,2.0,10.0,2,11.9,0.0
2010-03-14,5.9,7.8,4.0,11.0,2,9.6,0.0
2010-03-15,4.9,5.6,4.2,13.0,2,10.6,0.0
2010-03-16,3.5500000000000003,7.4,-0.3,7.0,2,11.95,0.0
2010-03-17,4.3,6.2,2.4,8.0,2,11.2,0.0
2010-03-18,9.0,13.0,5.0,3.0,2,6.5,0.0
2010-03-19,9.6,15.0,4.2,5.0,2,5.9,0.0
2010-03-20,11.4,15.8,7.0,7.0,2,4.1,0.0
2010-03-21,8.6,8.6,8.6,2.0,1,6.9,0.0
2010-03-22,13.3,16.0,10.6,5.0,2,2.1999999999999993,0.0
2010-03-23,10.5,10.6,10.4,2.0,2,5.0,0.0
2010-03-24,11.5,16.8,6.2,3.0,2,4.0,0.0
2010-03-25,14.799999999999999,20.4,9.2,9.0,2,0.7000000000000011,0.0
2010-03-26,16.6,20.2,13.0,7.0,2,0.0,0.0
2010-03-27,12.600000000000001,13.4,11.8,5.0,2,2.8999999999999986,0.0
2010-03-28,11.899999999999999,14.2,9.6,10.0,2,3.6000000000000014,0.0
2010-03-29,12.8,17.0,8.6,5.0,2,2.6999999999999993,0.0
2010-03-30,15.0,19.4,10.6,8.0,2,0.5,0.0
2010-03-31,11.3,11.8,10.8,7.0,2,4.199999999999999,0.0
2010-04-01,10.8,15.8,5.8,6.0,2,4.699999999999999,0.0
2010-04-02,7.9,8.8,7.0,4.0,2,7.6,0.0
2010-04-03,8.9,13.6,4.2,5.0,2,6.6,0.0
2010-04-04,11.9,16.6,7.2,5.0,2,3.5999999999999996,0.0
2010-04-05,10.600000000000001,11.8,9.4,4.0,2,4.899999999999999,0.0
2010-04-06,9.1,10.0,8.2,10.0,2,6.4,0.0
2010-04-07,10.9,15.4,6.4,4.0,2,4.6,0.0
2010-04-08,12.4,17.6,7.2,4.0,2,3.0999999999999996,0.0
2010-04-09,14.5,19.6,9.4,3.0,2,1.0,0.0
2010-04-10,11.0,12.6,9.4,7.0,2,4.5,0.0
2010-04-11,9.1,11.2,7.0,4.0,2,6.4,0.0
2010-04-12,7.4,9.0,5.8,8.0,2,8.1,0.0
2010-04-13,9.8,10.4,9.2,5.0,2,5.699999999999999,0.0
2010-04-14,11.3,13.8,8.8,3.0,2,4.199999999999999,0.0
2010-04-15,9.0,10.0,8.0,4.0,2,6.5,0.0
2010-04-16,10.7,13.8,7.6,3.0,2,4.800000000000001,0.0
2010-04-17,11.399999999999999,13.6,9.2,4.0,2,4.100000000000001,0.0
2010-04-18,11.0,15.6,6.4,6.0,2,4.5,0.0
2010-04-19,13.2,13.8,12.6,4.0,2,2.3000000000000007,0.0
2010-04-20,15.0,20.0,10.0,4.0,2,0.5,0.0
2010-04-21,14.8,18.2,11.4,8.0,2,0.6999999999999993,0.0
2010-04-22,11.4,12.4,10.4,6.0,2,4.1,0.0
2010-04-23,8.2,12.0,4.4,4.0,2,7.300000000000001,0.0
2010-04-24,15.1,20.0,10.2,3.0,2,0.40000000000000036,0.0
2010-04-25,17.5,22.4,12.6,4.0,2,0.0,0.0
2010-04-26,17.1,21.8,12.4,3.0,2,0.0,0.0
2010-04-27,16.7,20.0,13.4,3.0,2,0.0,0.0
2010-04-28,15.2,18.0,12.4,5.0,2,0.3000000000000007,0.0
2010-04-29,15.3,20.0,10.6,4.0,2,0.1999999999999993,0.0
2010-04-30,17.0,23.2,10.8,4.0,2,0.0,0.0
2010-05-01,19.7,24.4,15.0,6.0,2,0.0,1.6999999999999993
2010-05-02,17.7,21.2,14.2,5.0,2,0.0,0.0
2010-05-03,18.7,21.0,16.4,5.0,2,0.0,0.6999999999999993
2010-05-04,20.5,25.0,16.0,3.0,2,0.0,2.5
2010-05-05,21.8,24.8,18.8,5.0,2,0.0,3.8000000000000007
2010-05-06,18.6,20.8,16.4,6.0,2,0.0,0.6000000000000014
2010-05-07,16.6,19.2,14.0,4.0,2,0.0,0.0
2010-05-08,15.100000000000001,19.8,10.4,2.0,2,0.3999999999999986,0.0
2010-05-09,14.600000000000001,16.8,12.4,2.0,2,0.8999999999999986,0.0
2010-05-10,14.7,18.4,11.0,5.0,2,0.8000000000000007,0.0
2010-05-11,16.6,22.4,10.8,5.0,2,0.0,0.0
2010-05-12,15.9,16.6,15.2,2.0,2,0.0,0.0
2010-05-13,17.1,20.2,14.0,5.0,2,0.0,0.0
2010-05-14,15.5,18.0,13.0,3.0,2,0.0,0.0
2010-05-15,14.0,14.0,14.0,8.0,1,1.5,0.0
2010-05-16,11.399999999999999,14.6,8.2,9.0,2,4.100000000000001,0.0
2010-05-17,8.9,9.8,8.0,15.5,2,6.6,0.0
2010-05-18,9.6,10.0,9.2,15.5,2,5.9,0.0
2010-05-19,10.2,12.2,8.2,12.0,2,5.300000000000001,0.0
2010-05-20,12.899999999999999,16.2,9.6,5.0,2,2.6000000000000014,0.0
2010-05-21,15.799999999999999,18.4,13.2,4.0,2,0.0,0.0
2010-05-22,19.4,23.2,15.6,4.0,2,0.0,1.3999999999999986
2010-05-23,17.700000000000003,21.6,13.8,4.0,2,0.0,0.0
2010-05-24,18.0,22.2,13.8,5.0,2,0.0,0.0
2010-05-25,17.7,21.2,14.2,6.0,2,0.0,0.0
2010-05-26,16.8,20.8,12.8,3.0,2,0.0,0.0
2010-05-27,18.8,23.2,14.4,3.0,2,0.0,0.8000000000000007
2010-05-28,20.1,23.0,17.2,4.0,2,0.0,2.1000000000000014
2010-05-29,20.3,24.0,16.6,3.0,2,0.0,2.3000000000000007
2010-05-30,19.3,23.6,15.0,3.0,2,0.0,1.3000000000000007
2010-05-31,14.5,15.0,14.0,8.0,2,1.0,0.0
2010-06-01,11.9,12.8,11.0,9.0,2,3.5999999999999996,0.0
2010-06-02,12.7,14.2,11.2,4.0,2,2.8000000000000007,0.0
2010-06-03,13.8,16.6,11.0,3.0,2,1.6999999999999993,0.0
2010-06-04,13.6,13.6,13.6,6.0,1,1.9000000000000004,0.0
2010-06-06,18.8,23.6,14.0,3.0,2,0.0,0.8000000000000007
2010-06-07,20.0,25.2,14.8,3.0,2,0.0,2.0
2010-06-08,23.299999999999997,28.2,18.4,4.0,2,0.0,5.299999999999997
2010-06-09,24.5,28.8,20.2,4.0,2,0.0,6.5
2010-06-10,25.4,30.4,20.4,6.0,2,0.0,7.399999999999999
2010-06-11,26.5,31.8,21.2,6.0,2,0.0,8.5
2010-06-12,26.0,30.8,21.2,7.0,2,0.0,8.0
2010-06-13,27.200000000000003,30.8,23.6,2.0,2,0.0,9.200000000000003
2010-06-14,23.3,25.6,21.0,5.0,2,0.0,5.300000000000001
2010-06-15,20.4,24.4,16.4,5.0,2,0.0,2.3999999999999986
2010-06-16,19.1,20.4,17.8,4.0,2,0.0,1.1000000000000014
2010-06-17,19.9,24.0,15.8,3.0,2,0.0,1.8999999999999986
2010-06-18,18.6,18.8,18.4,4.0,2,0.0,0.6000000000000014
2010-06-19,17.6,20.6,14.6,5.0,2,0.0,0.0
2010-06-20,18.6,21.4,15.8,3.0,2,0.0,0.6000000000000014
2010-06-21,18.1,19.6,16.6,4.0,2,0.0,0.10000000000000142
2010-06-22,15.399999999999999,16.2,14.6,8.0,2,0.10000000000000142,0.0
2010-06-23,17.5,20.8,14.2,6.0,2,0.0,0.0
2010-06-24,19.2,22.2,16.2,8.0,2,0.0,1.1999999999999993
2010-06-25,17.1,18.8,15.4,6.0,2,0.0,0.0
2010-06-26,17.1,18.6,15.6,3.0,2,0.0,0.0
2010-06-27,19.1,22.0,16.2,3.0,2,0.0,1.1000000000000014
2010-06-28,22.9,26.0,19.8,4.0,2,0.0,4.899999999999999
2010-06-29,24.0,27.6,20.4,3.0,2,0.0,6.0
2010-06-30,24.200000000000003,28.6,19.8,3.0,2,0.0,6.200000000000003
2010-07-01,24.4,28.2,20.6,3.0,2,0.0,6.399999999999999
2010-07-02,24.7,29.0,20.4,3.0,2,0.0,6.699999999999999
2010-07-03,25.5,30.4,20.6,4.0,2,0.0,7.5
2010-07-04,22.3,25.6,19.0,4.0,2,0.0,4.300000000000001
2010-07-05,21.5,27.0,16.0,2.0,2,0.0,3.5
2010-07-06,22.700000000000003,26.8,18.6,5.0,2,0.0,4.700000000000003
2010-07-07,18.7,20.4,17.0,11.0,2,0.0,0.6999999999999993
2010-07-08,20.1,24.0,16.2,4.0,2,0.0,2.1000000000000014
2010-07-09,21.799999999999997,27.2,16.4,4.0,2,0.0,3.799999999999997
2010-07-10,23.9,29.0,18.8,4.0,2,0.0,5.899999999999999
2010-07-11,26.5,31.2,21.8,3.0,2,0.0,8.5
2010-07-12,27.200000000000003,31.6,22.8,2.0,2,0.0,9.200000000000003
2010-07-13,27.299999999999997,32.8,21.8,5.0,2,0.0,9.299999999999997
2010-07-14,29.5,33.4,25.6,4.0,2,0.0,11.5
2010-07-15,22.4,22.4,22.4,2.0,1,0.0,4.399999999999999
2010-07-16,28.7,33.0,24.4,4.0,2,0.0,10.7
2010-07-17,28.900000000000002,34.2,23.6,2.0,2,0.0,10.900000000000002
2010-07-18,25.1,25.6,24.6,5.0,2,0.0,7.100000000000001
2010-07-19,23.8,27.6,20.0,5.0,2,0.0,5.800000000000001
2010-07-20,25.6,30.0,21.2,3.0,2,0.0,7.600000000000001
2010-07-21,26.9,31.4,22.4,2.0,2,0.0,8.899999999999999
2010-07-22,27.900000000000002,33.2,22.6,4.0,2,0.0,9.900000000000002
2010-07-23,28.2,33.0,23.4,4.0,2,0.0,10.2
2010-07-24,24.0,24.2,23.8,8.0,2,0.0,6.0
2010-07-25,17.6,19.0,16.2,8.0,2,0.0,0.0
2010-07-26,16.3,17.6,15.0,4.0,2,0.0,0.0
2010-07-27,19.6,22.6,16.6,4.0,2,0.0,1.6000000000000014
2010-07-28,21.2,24.2,18.2,9.0,2,0.0,3.1999999999999993
2010-07-29,16.8,16.8,16.8,2.0,1,0.0,0.0
2010-07-30,22.2,23.2,21.2,6.0,2,0.0,4.199999999999999
2010-07-31,21.9,26.0,17.8,4.0,2,0.0,3.8999999999999986
2010-08-01,24.0,28.2,19.8,4.0,2,0.0,6.0
2010-08-02,23.3,28.8,17.8,2.0,2,0.0,5.300000000000001
2010-08-03,25.299999999999997,30.2,20.4,3.0,2,0.0,7.299999999999997
2010-08-04,20.8,23.0,18.6,4.0,2,0.0,2.8000000000000007
2010-08-05,21.6,24.4,18.8,4.0,2,0.0,3.6000000000000014
2010-08-06,22.3,23.6,21.0,5.0,2,0.0,4.300000000000001
2010-08-07,20.0,21.8,18.2,6.0,2,0.0,2.0
2010-08-08,18.9,21.4,16.4,3.0,2,0.0,0.8999999999999986
2010-08-09,20.0,24.6,15.4,6.0,2,0.0,2.0
2010-08-10,20.9,26.2,15.6,2.0,2,0.0,2.8999999999999986
2010-08-11,18.0,18.0,18.0,4.0,1,0.0,0.0
2010-08-13,25.4,29.0,21.8,4.0,2,0.0,7.399999999999999
2010-08-14,23.4,28.2,18.6,3.0,2,0.0,5.399999999999999
2010-08-15,26.5,28.2,24.8,4.0,2,0.0,8.5
2010-08-16,24.3,28.0,20.6,3.0,2,0.0,6.300000000000001
2010-08-17,20.2,24.2,16.2,4.0,2,0.0,2.1999999999999993
2010-08-18,21.0,23.2,18.8,6.0,2,0.0,3.0
2010-08-19,22.5,24.8,20.2,7.0,2,0.0,4.5
2010-08-20,21.6,24.4,18.8,4.0,2,0.0,3.6000000000000014
2010-08-21,22.1,25.8,18.4,2.0,2,0.0,4.100000000000001
2010-08-22,22.2,27.4,17.0,2.0,2,0.0,4.199999999999999
2010-08-23,23.3,28.6,18.0,6.0,2,0.0,5.300000000000001
2010-08-24,22.5,26.0,19.0,6.0,2,0.0,4.5
2010-08-25,21.1,22.8,19.4,7.0,2,0.0,3.1000000000000014
2010-08-26,15.6,15.6,15.6,4.0,1,0.0,0.0
2010-08-29,19.6,19.6,19.6,10.0,1,0.0,1.6000000000000014
