PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
992.0,139,8.8,-1.2,49,3.53,295,4.0,282.6,292.7,283.2
988.0,172,8.5,-1.3,50,3.52,320,5.0,282.7,292.7,283.3
925.0,714,4.2,-2.8,60,3.36,325,19.0,283.6,293.3,284.2
908.0,864,3.1,-3.7,61,3.21,330,21.0,284.0,293.3,284.6
850.0,1396,-0.7,-6.7,64,2.72,330,18.0,285.4,293.4,285.9
817.0,1711,-3.3,-7.4,73,2.68,335,15.9,285.9,293.8,286.4
787.0,2005,-5.4,-10.0,70,2.28,340,14.0,286.7,293.5,287.1
763.0,2248,-7.1,-12.1,67,1.98,332,12.8,287.4,293.4,287.8
748.0,2402,-7.5,-20.5,35,1.00,328,12.0,288.6,291.8,288.8
710.0,2806,-9.4,-21.6,37,0.96,315,10.0,290.8,293.9,291.0
705.0,2861,-9.7,-21.7,37,0.96,308,10.0,291.1,294.2,291.3
700.0,2916,-9.9,-19.9,44,1.13,300,10.0,291.5,295.1,291.7
697.0,2949,-10.1,-17.1,57,1.44,296,10.3,291.6,296.1,291.9
689.0,3038,-10.5,-18.5,52,1.29,285,11.0,292.1,296.2,292.4
658.0,3390,-12.1,-24.1,36,0.83,276,11.9,294.2,296.9,294.4
653.0,3448,-12.5,-24.1,37,0.84,275,12.0,294.4,297.1,294.6
645.0,3542,-13.1,-24.1,39,0.85,266,9.5,294.8,297.5,294.9
640.0,3602,-12.9,-23.5,40,0.90,260,8.0,295.7,298.6,295.9
631.0,3710,-12.4,-22.5,43,0.99,225,5.0,297.4,300.7,297.6
629.0,3734,-12.3,-22.3,43,1.02,218,5.7,297.8,301.1,298.0
628.0,3746,-12.4,-22.3,43,1.02,215,6.0,297.8,301.1,298.0
582.0,4321,-17.1,-23.1,60,1.02,196,12.1,298.9,302.2,299.1
569.0,4490,-17.5,-20.0,81,1.37,190,13.9,300.3,304.8,300.6
568.0,4503,-17.5,-20.7,76,1.30,190,14.0,300.5,304.7,300.7
546.0,4798,-18.3,-36.2,19,0.32,195,9.0,303.0,304.1,303.0
540.0,4880,-18.5,-40.5,13,0.21,207,8.8,303.7,304.4,303.7
521.0,5145,-19.9,-50.7,5,0.07,245,8.0,305.1,305.4,305.1
511.0,5289,-20.6,-56.1,3,0.04,270,12.0,305.9,306.1,305.9
510.0,5304,-20.7,-56.7,2,0.04,270,12.5,306.0,306.1,306.0
500.0,5450,-19.5,-58.5,2,0.03,275,18.0,309.2,309.3,309.2
497.0,5495,-19.1,-58.1,2,0.03,279,18.7,310.2,310.3,310.2
478.0,5786,-19.5,-54.7,3,0.05,305,23.0,313.2,313.4,313.2
477.0,5801,-19.5,-54.5,3,0.05,305,23.2,313.4,313.6,313.4
450.0,6230,-22.6,-53.1,4,0.06,310,30.0,314.7,315.0,314.7
425.0,6651,-25.7,-51.7,7,0.08,300,32.1,316.0,316.3,316.0
414.0,6841,-26.8,-53.3,6,0.07,295,33.0,316.9,317.2,316.9
400.0,7090,-28.3,-55.3,6,0.05,295,32.0,318.1,318.3,318.1
370.0,7644,-30.9,-57.9,5,0.04,310,34.0,321.8,322.0,321.9
359.0,7858,-31.9,-58.9,5,0.04,309,34.6,323.3,323.4,323.3
300.0,9100,-41.1,-64.1,7,0.02,305,38.0,327.3,327.4,327.3
250.0,10320,-49.5,-70.5,7,0.01,305,34.0,332.3,332.4,332.3
225.0,10999,-54.9,-73.9,8,0.01,298,32.6,334.2,334.3,334.2
214.0,11317,-55.9,-73.9,9,0.01,295,32.0,337.5,337.5,337.5
213.0,11347,-55.6,-74.1,9,0.01,300,32.0,338.5,338.5,338.5
204.0,11623,-52.5,-75.9,5,0.01,305,19.0,347.6,347.6,347.6
203.0,11654,-52.1,-76.1,4,0.01,304,18.0,348.6,348.6,348.6
200.0,11750,-52.9,-75.9,5,0.01,300,15.0,348.8,348.9,348.8
196.0,11880,-53.7,-76.1,5,0.01,290,14.0,349.6,349.6,349.6
193.0,11980,-54.3,-76.3,5,0.01,284,16.0,350.2,350.2,350.2
184.0,12287,-54.2,-78.4,4,0.01,265,22.0,355.2,355.2,355.2
173.0,12683,-54.0,-81.2,2,0.00,270,29.0,361.7,361.7,361.7
163.0,13066,-53.9,-83.9,2,0.00,285,22.3,368.2,368.2,368.2
157.0,13311,-50.4,-83.0,1,0.00,295,18.0,378.1,378.1,378.1
152.0,13522,-47.3,-82.3,1,0.00,278,13.0,386.9,386.9,386.9
151.0,13566,-47.6,-82.1,1,0.00,275,12.0,387.1,387.1,387.1
150.0,13610,-47.9,-81.9,1,0.00,275,12.0,387.3,387.3,387.3
145.0,13832,-49.0,-82.4,1,0.00,255,15.0,389.2,389.2,389.2
134.0,14350,-51.5,-83.5,1,0.00,265,17.0,393.6,393.6,393.6
133.0,14398,-51.6,-83.6,1,0.00,265,16.0,394.3,394.3,394.3
122.0,14958,-52.7,-84.7,1,0.00,250,20.0,402.1,402.1,402.1
120.0,15065,-52.9,-84.9,1,0.00,255,21.0,403.7,403.7,403.7
118.0,15175,-52.2,-84.6,1,0.00,260,22.0,406.8,406.8,406.8
116.0,15287,-51.6,-84.3,1,0.00,270,20.0,410.0,410.0,410.0
109.0,15694,-49.2,-83.3,1,0.00,270,19.0,421.9,422.0,421.9
105.0,15938,-47.7,-82.7,1,0.00,250,15.0,429.3,429.3,429.3
100.0,16260,-48.9,-82.9,1,0.00,260,12.0,433.0,433.0,433.0
92.0,16803,-51.7,-84.0,1,0.00,230,15.0,437.9,437.9,437.9
90.3,16924,-52.3,-84.3,1,0.00,230,17.0,439.0,439.0,439.0
82.0,17549,-51.6,-84.5,1,0.00,260,14.0,452.6,452.7,452.6
80.5,17668,-51.5,-84.5,1,0.00,256,15.8,455.3,455.3,455.3
78.0,17872,-52.0,-84.8,1,0.00,250,19.0,458.4,458.4,458.4
70.0,18570,-53.7,-85.7,1,0.00,275,17.0,469.1,469.2,469.1
69.0,18662,-53.8,-85.8,1,0.00,285,18.0,470.8,470.8,470.8
64.0,19145,-54.6,-86.2,1,0.00,285,12.0,479.3,479.3,479.3
62.0,19348,-54.9,-86.3,1,0.00,270,12.0,483.0,483.0,483.0
61.0,19453,-55.1,-86.4,1,0.00,255,13.0,484.8,484.9,484.8
58.0,19776,-55.6,-86.7,1,0.00,250,16.0,490.7,490.8,490.7
57.5,19832,-55.7,-86.7,1,0.00,254,15.9,491.7,491.8,491.7
54.0,20235,-54.4,-86.4,1,0.00,285,15.0,503.7,503.8,503.7
50.9,20615,-53.1,-86.1,1,0.01,289,15.0,515.3,515.3,515.3
50.0,20730,-53.7,-85.7,1,0.01,290,15.0,516.5,516.5,516.5
