datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2020-01-02 00:00:00,2020-01-02,0,1016.0,139.0,-2.9,-3.6,170.0,2.0
2020-01-02 12:00:00,2020-01-02,12,1015.0,139.0,3.6,-1.0,140.0,2.0
2020-01-03 00:00:00,2020-01-03,0,1015.0,139.0,-3.3,-3.6,70.0,4.0
2020-01-03 12:00:00,2020-01-03,12,1012.0,139.0,-2.5,-2.7,130.0,2.0
2020-01-04 00:00:00,2020-01-04,0,1008.0,139.0,-2.5,-2.6,250.0,4.0
2020-01-05 00:00:00,2020-01-05,0,1003.0,139.0,4.8,1.1,300.0,10.0
2020-01-05 12:00:00,2020-01-05,12,1011.0,139.0,4.2,-4.8,340.0,12.0
2020-01-06 00:00:00,2020-01-06,0,1017.0,139.0,-0.7,-6.7,340.0,4.0
2020-01-06 12:00:00,2020-01-06,12,1016.0,139.0,2.2,-7.8,200.0,4.0
2020-01-10 00:00:00,2020-01-10,0,1008.0,139.0,-0.9,-0.9,80.0,4.0
2020-01-11 00:00:00,2020-01-11,0,1009.0,139.0,-2.5,-2.8,200.0,2.0
2020-01-11 12:00:00,2020-01-11,12,1012.0,139.0,6.6,-0.4,310.0,8.0
2020-01-12 00:00:00,2020-01-12,0,1015.0,139.0,-3.5,-4.0,20.0,2.0
2020-01-12 12:00:00,2020-01-12,12,1014.0,139.0,4.6,0.2,230.0,4.0
2020-01-13 00:00:00,2020-01-13,0,1013.0,139.0,-4.1,-4.4,130.0,4.0
2020-01-13 12:00:00,2020-01-13,12,1012.0,139.0,-2.7,-3.0,200.0,2.0
2020-01-14 00:00:00,2020-01-14,0,1009.0,139.0,-3.3,-3.6,130.0,4.0
2020-01-14 12:00:00,2020-01-14,12,1009.0,139.0,-2.5,-2.6,110.0,2.0
2020-01-15 00:00:00,2020-01-15,0,1012.0,139.0,-1.9,-2.0,0.0,2.0
2020-01-15 12:00:00,2020-01-15,12,1014.0,139.0,-1.9,-2.0,70.0,4.0
2020-01-16 00:00:00,2020-01-16,0,1014.0,139.0,-1.7,-1.8,50.0,2.0
2020-01-16 12:00:00,2020-01-16,12,1015.0,139.0,-0.5,-0.5,10.0,2.0
2020-01-17 00:00:00,2020-01-17,0,1015.0,139.0,-2.1,-2.2,40.0,2.0
2020-01-17 12:00:00,2020-01-17,12,1013.0,139.0,-2.1,-2.2,110.0,2.0
2020-01-18 00:00:00,2020-01-18,0,1011.0,139.0,-2.5,-2.6,90.0,4.0
2020-01-18 12:00:00,2020-01-18,12,1009.0,139.0,-1.5,-1.5,130.0,4.0
2020-01-19 00:00:00,2020-01-19,0,1009.0,139.0,-1.3,-1.3,110.0,2.0
2020-01-19 12:00:00,2020-01-19,12,1013.0,139.0,-0.3,-0.3,10.0,2.0
2020-01-20 00:00:00,2020-01-20,0,1021.0,139.0,-0.7,-0.7,210.0,2.0
2020-01-20 12:00:00,2020-01-20,12,1027.0,139.0,2.8,1.8,100.0,2.0
2020-01-21 00:00:00,2020-01-21,0,1029.0,139.0,-1.9,-1.9,190.0,2.0
2020-01-21 12:00:00,2020-01-21,12,1027.0,139.0,-1.3,-1.3,220.0,4.0
2020-01-22 00:00:00,2020-01-22,0,1022.0,139.0,-0.5,-0.5,180.0,2.0
2020-01-22 12:00:00,2020-01-22,12,1014.0,139.0,-2.1,-2.2,250.0,2.0
2020-01-23 00:00:00,2020-01-23,0,1016.0,139.0,-3.7,-4.4,200.0,4.0
2020-01-23 12:00:00,2020-01-23,12,1018.0,139.0,4.4,-0.6,150.0,2.0
2020-01-24 00:00:00,2020-01-24,0,1016.0,139.0,-3.3,-3.6,100.0,4.0
2020-01-24 12:00:00,2020-01-24,12,1012.0,139.0,-1.7,-1.8,110.0,2.0
2020-01-25 00:00:00,2020-01-25,0,1008.0,139.0,-1.5,-1.6,200.0,2.0
2020-01-25 12:00:00,2020-01-25,12,1008.0,139.0,-1.5,-2.5,80.0,2.0
2020-01-26 00:00:00,2020-01-26,0,1008.0,139.0,-1.1,-1.5,50.0,2.0
2020-01-26 12:00:00,2020-01-26,12,1007.0,139.0,0.2,-1.4,110.0,4.0
2020-01-27 00:00:00,2020-01-27,0,1004.0,139.0,0.0,-0.4,0.0,2.0
2020-01-27 12:00:00,2020-01-27,12,1002.0,139.0,1.0,-0.8,330.0,4.0
2020-01-28 00:00:00,2020-01-28,0,999.0,139.0,-0.7,-0.7,190.0,2.0
2020-01-28 12:00:00,2020-01-28,12,990.0,139.0,2.6,2.6,140.0,4.0
2020-01-29 00:00:00,2020-01-29,0,988.0,139.0,1.8,1.4,220.0,4.0
2020-01-29 12:00:00,2020-01-29,12,993.0,139.0,3.6,1.6,260.0,6.0
2020-01-30 00:00:00,2020-01-30,0,997.0,139.0,3.2,-1.4,270.0,10.0
2020-01-30 12:00:00,2020-01-30,12,1001.0,139.0,6.2,0.2,270.0,6.0
2020-01-31 00:00:00,2020-01-31,0,997.0,139.0,0.6,-1.2,150.0,4.0
2020-01-31 12:00:00,2020-01-31,12,992.0,139.0,7.8,4.6,260.0,4.0
