date,temp_mean_c,temp_max_c,temp_min_c,wind_mean_m_s,solar_rad_j_m2,precip_mm,HDD,CDD,load_mean_MW,load_max_MW,load_min_MW,n_hours,year,month,season,weekday,is_weekend
2014-12-31,-7.602936,-4.7848816,-9.894562,1.3446732,1060215.5,0.0,23.102936,0.0,4270.7425,4362.54,4178.02,4,2014,12,Winter,2,0
2015-01-01,-3.4319763,-0.7023926,-6.491699,1.8032094,251127.47,0.035540264,18.931976,0.0,4060.3309375000003,4692.69,3415.09,96,2015,1,Winter,3,0
2015-01-02,0.44599915,2.8734436,-1.6200256,2.1683564,1010457.6,0.34036636,15.054001,0.0,4390.001979166666,5163.49,3297.72,96,2015,1,Winter,4,0
2015-01-03,4.187042,6.513794,3.0158997,4.1368237,999697.06,0.3299395,11.312958,0.0,4381.153958333333,5105.93,3475.22,96,2015,1,Winter,5,1
2015-01-04,2.800743,5.2474365,0.9935303,6.008962,981120.0,0.79488754,12.699257,0.0,4404.731428571428,5184.72,3474.73,91,2015,1,Winter,6,1
2015-01-05,1.3772278,1.9463196,0.4414978,6.0142584,309495.47,0.75756705,14.122772,0.0,5045.297291666667,5919.48,3579.9,96,2015,1,Winter,0,0
2015-01-06,0.27043915,2.148407,-2.0290833,4.63974,1057433.6,0.018914541,15.229561,0.0,5169.623958333334,5977.32,3922.98,96,2015,1,Winter,1,0
2015-01-07,-4.3009872,-3.3984375,-5.3768616,3.2980351,552392.56,0.092347465,19.800987,0.0,5339.6561458333335,6139.93,4030.72,96,2015,1,Winter,2,0
2015-01-08,-2.8790894,-1.7394409,-3.9318542,2.739305,294698.66,0.03595352,18.37909,0.0,5396.002291666667,6142.52,4141.57,96,2015,1,Winter,3,0
2015-01-09,2.1705322,4.7518005,-0.8280945,3.9499016,653154.1,0.20202,13.329468,0.0,5252.706979166666,5977.01,4123.99,96,2015,1,Winter,4,0
2015-01-10,7.8416367,13.116425,4.8673706,3.639729,629230.94,1.5903156,7.6583633,0.0,4937.832708333333,5601.44,3933.7,96,2015,1,Winter,5,1
2015-01-11,7.078766,11.497925,4.504669,4.6395335,177463.47,0.7909774,8.421234,0.0,4582.876041666666,5265.59,3630.63,96,2015,1,Winter,6,1
2015-01-12,4.4281235,7.9118347,2.643036,4.3841014,1102088.5,0.27675626,11.071877,0.0,5108.1865625,5928.83,3683.17,96,2015,1,Winter,0,0
2015-01-13,3.6329956,8.029419,0.36663818,3.0001287,1180292.2,0.0,11.867004,0.0,5174.6293749999995,5910.27,3964.1,96,2015,1,Winter,1,0
2015-01-14,2.8816528,6.024475,0.6910095,1.6842544,1110626.1,0.019168854,12.618347,0.0,5208.7053125,5962.8,3981.48,96,2015,1,Winter,2,0
2015-01-15,4.2565994,7.673401,0.8510742,3.1912253,1040610.1,0.00073115027,11.243401,0.0,5163.12,5888.6,4002.08,96,2015,1,Winter,3,0
2015-01-16,7.733963,11.381897,4.7573853,5.340128,1087914.6,0.00022252402,7.766037,0.0,5148.313958333333,5839.95,3961.33,96,2015,1,Winter,4,0
2015-01-17,8.838272,9.903931,7.4605713,4.5835524,780902.4,0.0064214068,6.661728,0.0,4688.607812499999,5325.27,3823.35,96,2015,1,Winter,5,1
2015-01-18,4.1539536,5.809662,2.8322754,1.9871716,673536.0,0.013224285,11.346046,0.0,4475.2013541666665,5165.57,3530.05,96,2015,1,Winter,6,1
2015-01-19,3.3568573,5.6020203,2.1446533,0.8048652,1000772.25,0.01001358,12.143143,0.0,5126.216875,5888.55,3626.53,96,2015,1,Winter,0,0
2015-01-20,3.6953125,5.2809753,2.3027344,2.7289238,517632.0,0.020631153,11.8046875,0.0,5192.020729166667,5918.25,3919.28,96,2015,1,Winter,1,0
2015-01-21,4.8515472,5.3145447,4.4783325,1.2997551,242414.94,0.35950342,10.648453,0.0,5200.091354166667,5908.72,3959.4,96,2015,1,Winter,2,0
2015-01-22,5.8623657,7.297119,4.916809,2.0495443,379101.88,0.041198727,9.637634,0.0,5186.208541666667,5860.78,3945.01,96,2015,1,Winter,3,0
2015-01-23,5.9542847,6.801483,5.4731445,4.4796963,529297.06,1.4468511,9.545715,0.0,5187.616458333333,5917.19,3899.8,96,2015,1,Winter,4,0
2015-01-24,1.5067062,2.8136597,0.661438,7.0360847,275554.12,2.9131572,13.993294,0.0,4795.245,5506.44,3863.46,96,2015,1,Winter,5,1
2015-01-25,0.37340546,1.2419739,-0.16210938,7.8838334,494318.94,1.4383634,15.126595,0.0,4596.274583333333,5260.66,3626.26,96,2015,1,Winter,6,1
2015-01-26,-0.1209259,1.7701111,-2.6722412,3.7124946,1316953.6,0.01557668,15.620926,0.0,5158.376458333333,5880.36,3736.11,96,2015,1,Winter,0,0
2015-01-27,-2.313652,1.1620178,-5.8075256,2.4498234,498521.6,0.34335452,17.813652,0.0,5318.576458333334,6028.02,4071.38,96,2015,1,Winter,1,0
2015-01-28,0.46090698,3.2851868,-1.4037476,2.7623708,1254792.5,0.025399527,15.039093,0.0,5277.419166666667,5965.17,4094.85,96,2015,1,Winter,2,0
2015-01-29,-0.2768631,-0.005859375,-0.9789734,4.12613,323020.8,0.94308853,15.776863,0.0,5363.175368421053,6015.18,4081.11,95,2015,1,Winter,3,0
2015-01-30,1.4971771,2.2640076,1.0679932,5.3215685,128209.07,3.17208,14.002823,0.0,5295.006770833334,5918.92,4083.75,96,2015,1,Winter,4,0
2015-01-31,0.46206665,3.250183,-1.1731567,3.294672,1487313.1,0.040658318,15.037933,0.0,4764.309375,5375.0,3928.76,96,2015,1,Winter,5,1
2015-02-01,-1.0687714,0.74368286,-2.5079956,1.747946,930363.75,0.17429987,16.568771,0.0,4581.523645833334,5253.97,3681.68,96,2015,2,Winter,6,1
2015-02-02,0.87423706,3.2283325,-0.19256592,2.3652997,1403323.8,0.27071637,14.625763,0.0,5162.4340624999995,5906.32,3764.48,96,2015,2,Winter,0,0
2015-02-03,0.55287933,3.4709473,-1.8805237,2.2327926,1441220.2,0.042438507,14.947121,0.0,5270.24755319149,5950.88,4100.64,94,2015,2,Winter,1,0
2015-02-04,1.1474457,1.9613953,0.5092163,2.8497875,739097.6,0.107987724,14.352554,0.0,5357.574583333333,6029.69,4086.62,96,2015,2,Winter,2,0
2015-02-05,-1.3603973,1.470398,-3.814148,2.8172839,1148202.6,0.0005086263,16.860397,0.0,5304.681354166666,5969.99,4122.64,96,2015,2,Winter,3,0
2015-02-06,-0.73581696,1.4309692,-2.605133,4.855815,726229.3,0.058650967,16.235817,0.0,5298.0646875,5920.2,4110.24,96,2015,2,Winter,4,0
2015-02-07,-2.6658936,-0.29492188,-4.988678,3.448829,1542067.2,0.016562143,18.165894,0.0,4802.29125,5397.26,3980.19,96,2015,2,Winter,5,1
2015-02-08,-0.7225647,1.9706421,-3.709137,6.7494717,1317717.4,0.08093516,16.222565,0.0,4621.935416666666,5333.15,3700.41,96,2015,2,Winter,6,1
2015-02-09,-0.8371124,0.89001465,-2.401245,5.0680923,458137.6,1.2606621,16.337112,0.0,5265.458125,6044.76,3808.04,96,2015,2,Winter,0,0
2015-02-10,3.3849564,4.1953125,2.3127441,6.6166773,531477.3,0.6961505,12.115044,0.0,5279.761979166667,5912.65,4092.11,96,2015,2,Winter,1,0
2015-02-11,2.9714813,4.3943787,2.1474304,3.3075006,893879.44,0.0019073487,12.528519,0.0,5229.410208333334,5901.19,4057.33,96,2015,2,Winter,2,0
2015-02-12,2.4349213,5.4302673,0.70266724,2.1600363,785719.44,0.0023206074,13.065079,0.0,5213.447395833334,5886.97,4036.57,96,2015,2,Winter,3,0
2015-02-13,0.87467957,5.107422,-2.7538147,3.3703856,1698158.9,0.0,14.62532,0.0,5174.4075,5814.67,4048.21,96,2015,2,Winter,4,0
2015-02-14,2.0071793,5.9374084,-1.5704956,3.727709,1708684.8,0.0,13.492821,0.0,4733.786666666667,5315.1,4001.14,96,2015,2,Winter,5,1
